50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,competencia,foul_committed_advantage,foul_won_advantage,goalkeeper_punched_out,pass_cut_back,pass_deflected,pass_goal_assist,pass_no_touch,shot_deflected,dribble_no_touch,pass_miscommunication,bad_behaviour_card,ball_recovery_offensive,block_offensive,pass_backheel,shot_open_goal,shot_redirect
,,,,,,,,,,,,,,,,,1.28314,,,,,,,,,,,,,a17a65d2-e69a-42f9-a53b-1cf113a1f715,1212,,,"[25.3, 40.8]",3857260,41,,,,,1.0600921,,Right Foot,,"[33.2, 54.9]",Ground Pass,,16.162302,,,César Jasib Montes Castro,26368.0,,,,,,1,From Corner,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,76,Mexico,794,['20fa04e2-1150-4e77-807b-c87b449602aa'],42,,,,,,,,,,,,,,,,,Mexico,794,00:41:42.990,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.480077,,,,,,,,,,,,,7b8dc704-6e8c-43a6-a820-f64eacdc4929,1215,,,"[33.0, 57.5]",3857260,41,,,,,1.0208253,,Right Foot,,"[45.2, 77.4]",Ground Pass,,23.342022,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Corner,César Jasib Montes Castro,26368.0,Right Center Back,76,Mexico,794,['5eb65ff1-75d5-4b52-9b59-07a4f9d69e27'],45,,,,,,,,,,,,,,,,,Mexico,794,00:41:45.401,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.015547,,,,,,,,,,,,,4e0c7eb2-f962-4238-9c14-2de21b709ca8,1218,,,"[42.4, 76.3]",3857260,41,,,,,-1.3870518,,Right Foot,,"[44.5, 65.0]",Ground Pass,,11.493477,,,Edson Omar Álvarez Velázquez,5567.0,,,,,,1,From Corner,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,76,Mexico,794,['5404b338-1a3b-466b-9c51-c67562d53e51'],48,,,,,,,,,,,,,,,,,Mexico,794,00:41:48.638,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.365593,,,,,,,,,,,,,b0cd3bfd-1ce5-4be2-989f-d85a4bdc1487,1222,,,"[53.1, 59.0]",3857260,41,,,,,0.7123576,,Left Foot,,"[68.5, 72.3]",Ground Pass,,20.348219,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Corner,Edson Omar Álvarez Velázquez,5567.0,Right Defensive Midfield,76,Mexico,794,['3f275ed8-0992-476e-96a8-f15036e78505'],51,,,,,,,,,,,,,,,,,Mexico,794,00:41:51.402,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.958416,,,,,,,,,,,,,75a1068e-18bc-42c3-b5b3-5d2ee060c16f,1226,,,"[68.9, 72.0]",3857260,41,,,,,-0.7922008,,Right Foot,,"[76.2, 64.6]",Low Pass,,10.394711,,,Orbelín Pineda Alvarado,26280.0,,,,,,1,From Corner,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,76,Mexico,794,"['53ad3cdd-5e9c-4169-b7f0-c61f18f9998f', '3a3a1418-a420-40c4-9b00-fee2f41c1212']",52,,,,,,,,,,,,,,,,,Mexico,794,00:41:52.771,Pass,True,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.890398,,,,,,,,,,,,,0c325fac-035d-45c6-9b26-b637689607e1,1231,,,"[30.2, 17.9]",3857260,41,,,,,-3.0367157,,Right Foot,,"[26.4, 17.5]",Ground Pass,,3.8209946,Incomplete,,Hassan Mohammed Al-Tambakti,51546.0,,,,,Recovery,1,From Corner,Ali Al Hassan,51096.0,Right Defensive Midfield,76,Mexico,794,"['74363547-4ef6-45ec-9c4a-951107310289', 'bd0df435-946f-4d2e-8e0e-afda54c16d97']",56,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:41:56.111,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.937984,,,,,,,,,,,,,74363547-4ef6-45ec-9c4a-951107310289,1233,,,"[93.7, 62.6]",3857260,41,,,,,0.8224183,,Right Foot,,"[98.9, 68.2]",Ground Pass,,7.641989,Incomplete,,Hirving Rodrigo Lozano Bahena,5571.0,,,,,Recovery,1,From Corner,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,76,Mexico,794,"['2af9870d-741e-4302-86a1-02e09ffbd0f4', '7d8e8e47-1d62-4263-bafe-8c046a329760', '0c325fac-035d-45c6-9b26-b637689607e1']",57,,,,,,,,,,,,,,,,,Mexico,794,00:41:57.001,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.784157,,,,,,,,,,,,,7d8e8e47-1d62-4263-bafe-8c046a329760,1235,,,"[21.2, 11.9]",3857260,41,,,,,-0.816638,,Right Foot,,"[27.4, 5.3]",Ground Pass,,9.055386,,,Saud Abdullah Abdul Hamid,51710.0,,,,,Recovery,1,Regular Play,Hassan Mohammed Al-Tambakti,51546.0,Left Center Back,77,Saudi Arabia,799,"['74363547-4ef6-45ec-9c4a-951107310289', 'f6738529-9251-4711-993c-e510eabc6088']",57,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:41:57.939,Pass,,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.651187,,,,,,,,,,,,,2aaf006c-9674-4491-a0a4-44cd195ca351,1239,,,"[29.6, 5.3]",3857260,41,,,,,-0.31794828,,Left Foot,,"[45.4, 0.1]",Ground Pass,,16.633701,Out,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,Regular Play,Saud Abdullah Abdul Hamid,51710.0,Left Back,77,Saudi Arabia,799,"['34f87d9c-fd61-44a8-943b-6d98fcf7c7b8', '51f02f6e-1005-4bea-8c25-f5e644919b81']",59,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:41:59.775,Pass,True,wc_22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.210591,,,,,,,,,,,,,74ee417c-9d78-4bbf-96d9-b42641b615b7,1242,,,"[51.4, 0.1]",3857260,42,,True,,,0.093187265,,,,"[83.5, 3.1]",High Pass,,32.239883,Incomplete,,Mohammed Kanoo,5713.0,,,,,Throw-in,1,From Throw In,Saud Abdullah Abdul Hamid,51710.0,Left Back,78,Saudi Arabia,799,"['e323e380-256e-4aac-ac88-33fd670985c1', '8995914c-f986-4200-99a7-786e934a4825']",22,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:42:22.283,Pass,,wc_22,,,,,,,,,,,,,,,,
